amplitude,purity,efficiency
5.0000000000000005e-25,1.0,0.6494252873563219
6.0000000000000005e-25,0.9790209790209791,0.9523809523809523
6.9999999999999995e-25,0.9840255591054313,0.9903536977491961
8e-25,0.9735099337748344,0.9932432432432432
9e-25,0.976027397260274,1.0
1e-24,1.0,1.0
2e-24,0.9901315789473685,1.0
2.9999999999999996e-24,0.9835526315789473,1.0
4e-24,0.9813084112149533,1.0
5.0000000000000005e-24,0.9810126582278481,1.0
5.999999999999999e-24,0.9896551724137931,1.0
7.000000000000001e-24,0.9789473684210527,1.0
8.000000000000001e-24,0.9901960784313726,1.0
9e-24,0.9902912621359223,1.0
1e-23,0.9871794871794872,1.0
